"","Afghanistan","Angola","Albanie","Andorre","Le monde arabe","Émirats arabes unis","Argentine","Arménie","Samoa américaines","Date"
"NA",8996351,5643182,1608800,13411,92490932,92634,20619075,1874120,20013,1960-01-01
"NA.1",9166764,5753024,1659800,14375,95044497,101078,20953077,1941491,20486,1961-01-01
"NA.2",9345868,5866061,1711319,15370,97682294,112472,21287682,2009526,21117,1962-01-01
"NA.3",9533954,5980417,1762621,16412,100411076,125566,21621840,2077575,21882,1963-01-01
"NA.4",9731361,6093321,1814135,17469,103239902,138529,21953929,2144998,22698,1964-01-01
"NA.5",9938414,6203299,1864791,18549,106174988,150362,22283390,2211316,23520,1965-01-01
"NA.6",10152331,6309770,1914573,19647,109230593,160481,22608748,2276031,24321,1966-01-01
"NA.7",10372630,6414995,1965598,20758,112406932,170283,22932203,2339124,25116,1967-01-01
"NA.8",10604346,6523791,2022272,21890,115680165,183194,23261278,2401140,25885,1968-01-01
"NA.9",10854428,6642632,2081695,23058,119016542,203820,23605987,2462925,26614,1969-01-01
"NA.10",11126123,6776381,2135479,24276,122398374,235499,23973058,2525065,27292,1970-01-01
"NA.11",11417825,6927269,2187853,25559,125807419,278808,24366439,2587706,27916,1971-01-01
"NA.12",11721940,7094834,2243126,26892,129269375,332760,24782949,2650484,28492,1972-01-01
"NA.13",12027822,7277960,2296752,28232,132863416,397174,25213388,2712781,29014,1973-01-01
"NA.14",12321541,7474338,2350124,29520,136696761,471364,25644506,2773747,29488,1974-01-01
"NA.15",12590286,7682479,2404831,30705,140843298,554324,26066975,2832757,29932,1975-01-01
"NA.16",12840299,7900997,2458526,31777,145332378,646943,26477152,2889579,30321,1976-01-01
"NA.17",13067538,8130988,2513546,32771,150133054,748117,26878565,2944379,30689,1977-01-01
"NA.18",13237734,8376147,2566266,33737,155183724,852262,27277741,2997411,31102,1978-01-01
"NA.19",13306695,8641521,2617832,34818,160392488,952040,27684534,3049105,31673,1979-01-01
"NA.20",13248370,8929900,2671997,36067,165689490,1042384,28105888,3099751,32457,1980-01-01
"NA.21",13053954,9244507,2726056,37500,171051950,1120900,28543364,3148092,33493,1981-01-01
"NA.22",12749645,9582156,2784278,39114,176490084,1189545,28993987,3193686,34738,1982-01-01
"NA.23",12389269,9931562,2843960,40867,182005827,1253060,29454738,3238594,36160,1983-01-01
"NA.24",12047115,10277321,2904429,42706,187610756,1318478,29920904,3285595,37688,1984-01-01
"NA.25",11783050,10609042,2964762,44600,193310301,1391052,30388783,3335935,39241,1985-01-01
"NA.26",11601041,10921037,3022635,46517,199093767,1472218,30857244,3392256,40837,1986-01-01
"NA.27",11502761,11218268,3083605,48455,204942549,1560718,31326473,3451942,42450,1987-01-01
"NA.28",11540888,11513968,3142336,50434,210844771,1655849,31795517,3504651,44047,1988-01-01
"NA.29",11777609,11827237,3227943,52448,216787402,1756043,32263561,3536469,45593,1989-01-01
"NA.30",12249114,12171441,3286542,54509,224735446,1860174,32729739,3538165,47038,1990-01-01
"NA.31",12993657,12553446,3266790,56671,230829868,1970026,33193918,3505251,48375,1991-01-01
"NA.32",13981231,12968345,3247039,58888,235037179,2086639,33655151,3442810,49593,1992-01-01
"NA.33",15095099,13403734,3227287,60971,241286091,2207405,34110917,3363098,50720,1993-01-01
"NA.34",16172719,13841301,3207536,62677,247435930,2328686,34558115,3283660,51803,1994-01-01
"NA.35",17099541,14268994,3187784,63850,255029671,2448820,34994814,3217342,52868,1995-01-01
"NA.36",17822884,14682284,3168033,64360,260843462,2571020,35419682,3168215,53929,1996-01-01
"NA.37",18381605,15088981,3148281,64327,266575075,2700010,35833969,3133086,54941,1997-01-01
"NA.38",18863999,15504318,3128530,64142,272235146,2838145,36241590,3108684,55901,1998-01-01
"NA.39",19403676,15949766,3108778,64370,277962869,2988162,36648068,3089017,56770,1999-01-01
"NA.40",20093756,16440924,3089027,65390,283832016,3154925,37057452,3069588,57521,2000-01-01
"NA.41",20966463,16983266,3060173,67341,289850357,3326032,37471509,3050655,58175,2001-01-01
"NA.42",21979923,17572649,3051010,70049,296026575,3507232,37889370,3033897,58731,2002-01-01
"NA.43",23064851,18203369,3039616,73182,302434519,3741932,38309379,3017806,59117,2003-01-01
"NA.44",24118979,18865716,3026939,76244,309162029,4087931,38728696,3000612,59264,2004-01-01
"NA.45",25070798,19552542,3011487,78867,316264728,4579562,39145488,2981259,59118,2005-01-01
"NA.46",25893450,20262399,2992547,80991,323773264,5242032,39558890,2958500,58650,2006-01-01
"NA.47",26616792,20997687,2970017,82683,331653797,6044067,39970224,2933056,57903,2007-01-01
"NA.48",27294031,21759420,2947314,83861,339825483,6894278,40382389,2908220,57030,2008-01-01
"NA.49",28004331,22549547,2927519,84462,348145094,7666393,40799407,2888584,56227,2009-01-01
"NA.50",28803167,23369131,2913021,84449,356508908,8270684,41223889,2877311,55637,2010-01-01
"NA.51",29708599,24218565,2905195,83751,364895878,8672475,41656879,2875581,55320,2011-01-01
"NA.52",30696958,25096150,2900401,82431,373306993,8900453,42096739,2881922,55230,2012-01-01
"NA.53",31731688,25998340,2895092,80788,381702086,9006263,42539925,2893509,55307,2013-01-01
"NA.54",32758020,26920466,2889104,79223,390043028,9070867,42981515,2906220,55437,2014-01-01
"NA.55",33736494,27859305,2880703,78014,398304960,9154302,43417765,2916950,55537,2015-01-01
"NA.56",34656032,28813463,2876101,77281,406452690,9269612,43847430,2924816,55599,2016-01-01
